"","C1","C2","C3","E1","E2","E3","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","diffexpressed","delabel"
"COL4A1",1424.04256792435,1290.01705703036,1201.33297203564,843.428146643858,642.49509605076,730.594573198581,1021.98506881392,-0.820965881510677,0.103230725719548,-7.95272798663679,1.82448650359756e-15,9.14323963028037e-15,"DOWN",NA
"COL4A2",3674.11587011296,3630.32218257972,3396.19519202846,2540.31198724966,2337.15986159231,2335.33162693975,2985.57278675048,-0.56978720315928,0.065271143069561,-8.72954228106661,2.55705350577532e-18,1.44215192221578e-17,"DOWN",NA
"RAB20",230.170022308014,188.639204074508,219.176067187225,425.613675056742,298.86095931281,366.368539639171,288.138077929745,0.775278849272521,0.156819772654625,4.943757003015,7.66312116996648e-07,2.1526722117641e-06,"UP",NA
"NAXD",2316.75807500683,2294.12782038529,2060.46180143462,2414.41055981141,2256.56814222706,2243.20386551001,2264.25504406254,0.0509658368600737,0.0710215172511978,0.717611209006015,0.472997044343298,0.550362728249352,"NO",NA
"CARS2",2060.77459225306,2041.62638576472,1949.83991846748,1904.11981851302,1804.35905023315,1804.70428785221,1927.57067551394,-0.135143107981129,0.0673836169122812,-2.00557812379018,0.0449012778526385,0.0697064351845746,"NO",NA
"ING1",844.315268746685,816.454055134978,842.587239422586,2391.01294940253,2569.98038420304,2391.75095370679,1642.68347510277,1.55406265688095,0.0732132835407035,21.2265122082246,5.4349452836247e-100,2.15436748613783e-98,"UP",NA
"PRECSIT",40.871312372451,56.9847595641742,78.5725523878731,265.172917967289,349.230783916093,368.511045718933,193.223895321136,2.47862470974795,0.215231752951194,11.5160736079216,1.09487344239504e-30,9.66656345811461e-30,"UP",NA
"ANKRD10",2536.17248879578,2429.71224831384,2456.42611149456,2325.27680587283,2399.84230998751,2260.3439141481,2401.29564643544,-0.0882454445668177,0.0632917750843456,-1.39426401691559,0.163237892672239,0.221451776422249,"NO",NA
"ANKRD10-IT1",275.343578088091,296.713748075528,339.102594516084,229.519416391856,263.042417372698,255.672392184841,276.565691104849,-0.283211518423382,0.143569326233152,-1.9726464270192,0.048535859573261,0.0747677804724313,"DOWN",NA
"RP11-365P13.5",13.9822910747859,15.7199336728756,14.473891229345,15.5984069392523,13.431953227542,17.1400486380899,15.0577541303151,0.0699335816448006,0.544509095489623,0.128434184523431,0.897805379827038,0.920979573250173,"NO",NA
"ARHGEF7",2819.04499284721,2793.23571449909,2938.19991955704,2359.81613552403,2425.58688700696,2289.62483057151,2604.25141333431,-0.274098591422588,0.0625030160260608,-4.38536584071881,1.1579100588842e-05,2.90896058569731e-05,"DOWN",NA
"TUBGCP3",1453.08271092582,1645.68055637917,1719.29150817149,856.798209734645,869.718971483346,713.454524560492,1209.67108020916,-0.986167631883068,0.0960849228604843,-10.2635002716814,1.02907497195989e-24,7.50458656649745e-24,"DOWN",NA
"MCF2L",7496.65913778904,7191.8696553406,6905.07996577111,11202.9986981559,11114.941295791,11540.2519142873,9241.96677785582,0.649149593365582,0.0533767277905498,12.1616595890412,4.97378476107397e-34,4.86930678709852e-33,"UP",NA
"F10",37.6446298167312,22.5974046547587,21.7108368440176,90.247925862817,89.5463548502802,57.1334954602996,53.146774581484,1.52630740810121,0.342959829633149,4.45039703260245,8.57116816570714e-06,2.18469616156075e-05,"UP",NA
"RP11-98F14.12",44.0979949281708,69.7572056733856,74.4371548937745,235.090276013017,222.746557690072,235.675668773736,146.967476328693,1.87797675718255,0.209822320425996,8.9503192671292,3.54455672211285e-19,2.07519156399298e-18,"UP",NA
"PROZ",55.9291642991435,56.0022637096194,39.2862761939365,23.3976104088785,34.6992125044836,22.8533981841198,38.6946542166969,-0.912949362415976,0.365897662703498,-2.49509481878209,0.0125923476218929,0.0216512360452445,"DOWN",NA
"PCID2",2094.11697866216,2145.77094634752,2081.13878890511,2734.17790206609,3008.75752296941,2999.50851166573,2510.57844176934,0.468424530079716,0.0659652588504067,7.10107923842138,1.23786374582866e-12,5.29283970276476e-12,"UP",NA
"CUL4A",4381.83491066751,4273.85696731306,4144.7021384603,3907.40093828271,3876.2378355815,3877.22183567458,4076.87577099661,-0.134517121434016,0.0558007176059776,-2.41067009897389,0.0159232442706322,0.0269179486571031,"NO",NA
"LAMP1",17411.1790706641,17794.9649176952,17780.1415258769,19441.1859059296,19663.2601956859,20039.5735327001,18688.3841914253,0.158700683493152,0.0464175215762445,3.41898227445154,0.000628558209153917,0.00130832660127044,"NO",NA
"GRTP1",62.3825294105831,51.0897844368458,63.0648117850034,123.673083589786,98.5009903353082,130.692870865435,88.2340117371604,1.00564533338804,0.245054196907165,4.1037670281934,4.06476797426115e-05,9.66545013050967e-05,"UP",NA
"ADPRHL1",80.6670638929954,104.144560582801,59.9632636644294,60.1652839085447,51.4891540389111,66.4176884725983,70.4745024267133,-0.453795176390694,0.28274084593597,-1.60498627245906,0.108496825742404,0.154579081048464,"NO",NA
"DCUN1D2",467.868970579373,448.018109676956,554.14326420921,226.176900619159,160.064109294876,157.831281209078,335.683772598109,-1.44130612719366,0.155286807724421,-9.28157483764795,1.66991809598538e-20,1.0293923974451e-19,"DOWN",NA
"TMCO3",1507.93631437306,1470.79629426843,1542.50326529877,539.259211328437,644.733754922017,585.618328468071,1048.4745281098,-1.35367000926047,0.0876308025959028,-15.4474222437826,7.8521458104328e-54,1.29995697055389e-52,"DOWN",NA
"TFDP1",5712.30368447598,6012.87462987493,6045.95113637213,3150.87820172897,3299.78317623282,2973.7984387086,4532.59821123224,-0.916351654160848,0.0608696683611136,-15.0543230944602,3.23392475648607e-51,5.01894679664538e-50,"DOWN",NA
"TMEM255B",205.432122714162,277.063830984433,229.514560922471,216.149353301068,203.717957284387,204.252246270571,222.688345246182,-0.192551517797126,0.160721815699237,-1.1980422008015,0.230900588435292,0.299628912629637,"NO",NA
"GAS6-AS1",1426.19368962816,1482.58624452308,1497.01389286369,1586.58082010681,1405.8777711494,1513.32346100469,1485.26264654597,0.0325097600501705,0.0754949683550838,0.430621546819699,0.666743571570751,0.728251980026856,"NO",NA
