"","E1","E2","E3","F1","F2","F3","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"RP11-61J19.7",39.05039224824,10.2632597215231,17.4418488430551,26.7708100205828,33.6944443569276,8.70650695364381,22.6545436906621,0.062108619819895,0.554504990494859,0.112007323440799,0.910817599847742,NA
"NENF",1177.25447218959,1017.20307462207,926.5982197873,989.245170284394,1029.36527510414,1008.02002729965,1024.61437321452,-0.0397987613514725,0.0894054901828993,-0.445148964230889,0.656212105848475,0.987437356283577
"RP11-61J19.5",140.121995714273,67.2813692855406,103.197605654742,84.1368314932603,128.881249665248,118.021538704949,106.940098419669,0.100914346202543,0.254755933392563,0.396121671666976,0.692015271518764,0.992125519362308
"RP11-61J19.8",8.03978663934354,17.1054328692052,4.36046221076376,15.2976057260473,9.26597219815509,12.5760655997077,11.1075542072038,0.355407444327366,0.67022136512209,0.530283668684039,0.595915268023714,NA
"ATF3",36261.7348253363,35722.9860040482,36199.830530059,37268.7919500828,36156.6658783101,38438.2608106759,36674.7116664187,0.0481897905737927,0.0403036252712574,1.19566888212806,0.23182579931915,0.933367707076478
"BATF3",236.599435386395,229.21280044735,239.098677890213,219.265682073345,219.856249428953,246.684363686575,231.786201485472,-0.039743452569232,0.141319745763838,-0.281230710927317,0.778533450885066,0.994967510486715
"NSL1",560.487982857092,581.584717552978,611.191453208721,537.965801365998,629.243748365623,614.292435062647,589.12768973551,0.0247980045195906,0.0986499649635726,0.251373677920185,0.801525216448117,0.994967510486715
"TATDN3",400.840791018699,380.880971887637,370.63928791492,351.844931699088,407.702776718824,407.271047498227,386.529967789566,0.0243957781467727,0.115343505149893,0.211505434268445,0.832492892196033,0.994967510486715
"FLVCR1-DT",55.1299655269271,91.228975302428,78.4883197937477,82.8620310160897,70.758333149548,81.2607315673422,76.6213927260138,0.056013064457575,0.254936632901536,0.219713674806433,0.826094153937231,0.994967510486715
"FLVCR1",493.872607845389,716.14745612406,656.249562719946,497.172186096538,689.05138709917,701.357504599085,625.641784080698,0.0174814694478645,0.221838989388405,0.0788025112089617,0.937189706605444,0.997868024819314
"VASH2",32.1591465573741,33.0705035471301,40.6976473004618,7.64880286302366,15.1624999606174,29.0216898454794,26.2933816790144,-1.01425498842226,0.459814247694103,-2.20579286855201,0.0273985058584437,NA
"ANGEL2",735.066207025695,935.096996849887,825.580845237939,833.719512069579,873.528469953348,797.129081089167,833.353518704269,0.00576453699195091,0.0946392986003936,0.0609106056067805,0.951430403077924,0.998492331234247
"RPS6KC1",954.437528184925,1134.66038032395,1050.87139279407,1001.9931750561,880.267358824734,915.150619794116,989.563409162982,-0.169655876673135,0.0863785254466789,-1.96409785645001,0.0495187447642162,0.730266257909563
"PROX1",68.9124569086589,60.4391961378585,47.9650843184014,61.1904229041893,54.7534720800074,60.9455486755067,59.0343635041037,0.00574941195988841,0.278083091627643,0.0206751583716818,0.983504785531491,0.999296919137483
"SMYD2",1256.50379763455,1282.90746519039,1239.0980115587,1292.647683851,1227.32013570109,1237.29137707894,1255.96141183578,-0.00871429775099948,0.0690672520378563,-0.12617119537669,0.899596411881925,0.995902610537325
"RP11-176D17.3",19.52519612412,7.98253533896245,19.6220799484369,33.1448124064359,25.2708332676957,11.6086759381917,19.5256888373071,0.544173389565679,0.531340172243255,1.02415254481558,0.30576322918472,NA
"PTPN14",2275.25961893422,2040.10796020055,2167.14971874959,2308.66366415598,2159.81388327906,2401.06113988266,2225.34266420034,0.0829277313879869,0.0653007543542695,1.26993527422497,0.204107686915301,0.917688775248707
"CENPF",11418.7941097648,11730.905861701,11045.0507798646,11266.6866172339,11280.8999706994,11658.0128109291,11400.0583583654,0.000917894976913059,0.0439895245478185,0.0208662172721432,0.983352375464875,0.999296919137483
"KCNK2",105.665767259944,130.00128980596,135.901072235471,117.281643899696,90.9749997637045,150.912787196493,121.789593360211,-0.0567609594608216,0.218834638828443,-0.259378313070993,0.795343360943181,0.994967510486715
"KCTD3",1238.1271424589,1248.69659945198,1207.12128867977,1143.49602802204,1197.83749688878,1113.46550040489,1191.45734265106,-0.0948190484064304,0.0712487345257349,-1.33081729854699,0.183249134573783,0.898014975427786
"USH2A",200.994665983588,245.177871125275,282.703299997851,279.181304500364,264.501388201882,251.521311994155,254.013306967186,0.11527606828347,0.149935119897077,0.768839671203127,0.4419884949724,0.971148503114056
"ESRRG",25.2679008665083,11.4036219128035,18.895336246643,8.92360334019427,15.1624999606174,14.5108449227397,15.6939678749177,-0.508353998259873,0.546014408539287,-0.931026709752652,0.351839747930774,NA
"GPATCH2",1695.24643995301,1865.63254493465,1906.24872980556,1700.58383654559,1923.95277278057,1907.69241250951,1833.22612275482,0.0176871815063535,0.0713569500366751,0.247869079287482,0.80423570461027,0.994967510486715
"SPATA17",8.03978663934354,13.6843462953642,7.99418071973357,6.37400238585305,5.05416665353914,6.77172763061185,7.98636838740756,-0.70326374443908,0.739169048435412,-0.951424773436697,0.341388789398557,NA
"RRP15",1543.63903475396,1433.4352744394,1448.40019767536,1564.18018548834,1495.19096833866,1621.34507270078,1517.69845556608,0.081109045211427,0.0679690270150212,1.19332361773403,0.232742656324042,0.933367707076478
"LYPLAL1",469.753247927358,550.794938388409,555.232188170586,420.684157466301,607.34235953362,540.770820787432,524.096285378951,-0.00206831352361043,0.125622940306941,-0.0164644571967254,0.986863857290731,0.999296919137483
"LYPLAL1-AS1",12.6339504332541,12.5439841040838,7.26743701793961,17.8472066803885,19.3743055052334,8.70650695364381,13.0622317824239,0.523609018222638,0.600345354735689,0.872179678067409,0.383110364069152,NA
"ZC3H11B",354.899153079593,343.249019575385,281.976556296057,246.036492093928,319.254860281889,255.390870640218,300.134491994512,-0.244336548145937,0.144447042967543,-1.69153028768362,0.0907355681691397,0.815938577043512
"SLC30A10",81.546407341913,70.7024558593817,80.6685508991296,58.6408219498481,90.9749997637045,65.7824969830866,74.7192887995106,-0.102681192632514,0.255840782414917,-0.401348024592842,0.688163910303776,0.991999921853398
"EPRS1",5406.18224448429,5392.77280256477,5332.11854006229,5152.74352872361,5210.00345868993,5075.89355397434,5261.61902141654,-0.0630087236891308,0.0456707024322946,-1.37963114936844,0.16770024158176,0.892127078487834
"BPNT1",1364.46664679145,1417.47020376147,1391.71418893543,1394.63172202465,1330.93055209864,1451.08449227397,1391.71630098094,0.000360286641776405,0.0684040172226523,0.00526703922378837,0.995797530152816,0.999604444807645
"IARS2",4549.37069691996,4912.68032003575,4432.40983724137,4421.00805482768,4389.54373859874,4336.80785257613,4506.9700833666,-0.0789536057055007,0.0532792486066367,-1.48188286753852,0.138371464427684,0.865790773573574
"RAB3GAP2",5818.50844498776,6534.2753560364,6082.84478401545,5755.72415442531,5952.96595676019,6087.78313992006,6038.68363935753,-0.0503906789103775,0.0535588252163781,-0.940847352547385,0.34678309057309,0.946667159151092
"MORF4L1P1",560.487982857092,590.707615083221,614.825171717691,688.39225767213,607.34235953362,628.803279985386,615.093111141523,0.118310885720931,0.0952619068567908,1.2419537843053,0.214253614173152,0.919880030120185
"MARK1",114.854094847765,115.176581319315,73.40111388119,114.732042945355,140.674305190173,119.956318027981,113.13240936863,0.327048146617904,0.22272007207098,1.46842690726894,0.141988297133176,0.869620128015648
"C1orf115",73.5066207025695,77.5446290070638,97.3836560403907,73.9384276758954,85.9208331101654,110.282421412822,86.4294313248177,0.116393109846698,0.242545241617826,0.479882058581451,0.63131125942765,0.987000256401261
"MTARC2",246.936303922694,265.704390568322,241.278908995595,263.883698774316,250.181249350187,202.18443925684,245.028165144659,-0.0749713162361464,0.146551848509203,-0.511568547232882,0.608953002951479,0.985415360330069
"HLX-AS1",6.89124569086589,7.98253533896245,3.6337185089698,14.0228052488767,5.05416665353914,6.77172763061185,7.39269984530431,0.480487953399611,0.793790786004682,0.605308050774952,0.54497433311613,NA
"HLX",521.437590608852,378.600247505076,514.534540870124,602.980625701699,579.544442939155,640.411955923578,539.584900591414,0.361866930337661,0.118512784731014,3.05339994464718,0.00226264160819044,0.235480301518997
"DUSP10",12157.3059396359,13363.9045196144,13239.8167592824,13260.4745635287,13213.2763545692,12829.5216910249,13010.7166379426,0.0197418011014666,0.047890023960943,0.412232015535578,0.6801693731168,0.990239406231791
"RP11-378J18.9",33.3076875058518,20.5265194430463,19.6220799484369,34.4196128836065,24.4284721587725,15.4782345842557,24.6304344206616,0.0134918848285463,0.451702373186479,0.0298689704315021,0.976171552811249,NA
"TAF1A",530.625918196673,513.162986076157,569.767062206465,515.019392776927,561.012498542845,656.85758016935,557.74090632807,0.103059472783619,0.108107641365298,0.95330423901655,0.340435944340873,0.945306692299434
