"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"DUSP19",186.159506354011,0.0931420170171303,0.164685470122742,0.565575195842781,0.571682593423184,0.980945291317768
"NUP35",1585.15745039004,0.0661437580708297,0.0751621972561771,0.880013630327894,0.378851925668208,0.962354934750474
"RP11-438L19.1",81.8181668142239,0.38808950658703,0.233550292779313,1.66169565436488,0.0965738129062298,0.829389228447682
"CACYBPP2",24.0246561152252,-0.500394147318609,0.473903119760921,-1.05589966905272,0.291014055355037,NA
"ZNF804A",150.497660459559,0.0736987316291327,0.192495798168599,0.382858910845332,0.701824378680723,0.991825371921808
"LINC01473",101.149629399991,-0.133442487129856,0.240927545559235,-0.553869781971641,0.579667966904384,0.983455865626216
"RP11-410E4.1",22.9697930239139,0.248401679153857,0.446575812395205,0.556236303577564,0.578049324548469,NA
"MED28P3",20.8573949781193,0.415445748162904,0.452911385526662,0.917278216973524,0.358996868981145,NA
"ZC3H15",9489.37211810839,-0.0161435264236669,0.0479553871329185,-0.336636348673857,0.736391051614392,0.995551787914465
"ITGAV",2418.57755415224,0.0977931046871642,0.0611219220522623,1.59996775957972,0.109605735852248,0.844078266496666
"FAM171B",1077.30109087689,0.221553591164959,0.0850787474500855,2.6041002930249,0.00921157968686675,0.446597915547392
"TFPI",241.974061716344,0.085831565338452,0.162769511731529,0.527319670774843,0.597971616411893,0.984822913664976
"GULP1",1376.25998048365,0.0671177855282691,0.0790061287518249,0.849526316358322,0.395588493046249,0.966127931623612
"COL5A2",859.761665808005,-0.345570363553996,0.0956656854152306,-3.61227081637549,0.000303527330930723,0.0625079515667486
"WDR75",3730.93013320085,-0.047725078680598,0.0650564785694596,-0.733594558605609,0.46319587827607,0.973849402461523
"ASNSD1",963.739978565797,0.106317278577912,0.0802215177279381,1.32529627447931,0.185072904170052,0.904811935217754
"ANKAR",92.7257752991552,0.138448698473296,0.222498619702498,0.622245201603564,0.53378064781206,0.976541008316417
"OSGEPL1",277.622695058291,0.0390211023877182,0.142015824005636,0.274765876696739,0.783496115839639,0.995551787914465
"ORMDL1",1721.81511743128,-0.0103801219345304,0.0629100293919834,-0.164999476790153,0.868944393873021,0.995551787914465
"PMS1",811.249998788406,0.157785899615916,0.0833908194883087,1.89212554312453,0.0584742557616773,0.749747497725874
"C2orf88",552.939051930026,-0.0638735253205057,0.0992476217166997,-0.643577389721553,0.51984951593753,0.976541008316417
"HNRNPCP2",139.965965843347,-0.0620901034184802,0.199542623107393,-0.311162108884694,0.755677386868921,0.995551787914465
"HIBCH",1135.34621794919,0.0485749387380262,0.0721249721503925,0.673482946194272,0.500640094654813,0.975784123261776
"INPP1",945.830974239783,-0.0801379364988307,0.0901655395144272,-0.888786746360099,0.374117700134091,0.960324214191278
"MFSD6",656.263975610233,-0.00599932480949837,0.0950840657269837,-0.0630949545923322,0.949690891947926,0.997853111283961
"NEMP2",364.876079082565,-0.0657819846581458,0.134855052087716,-0.487797703087594,0.625693138513269,0.987978888356528
"AC093388.3",21.2556436146111,-0.130296405605646,0.452863581592423,-0.28771667871256,0.77356362187096,NA
"NAB1",1043.06501774083,0.00403858489699375,0.0820771774708648,0.0492047244001213,0.960756146302273,0.998053286448954
"AC006460.2",576.896859909162,-0.0173662876942998,0.117346043726741,-0.147992102185737,0.882349001151979,0.995551787914465
"AC005540.3",30.3470212434285,-0.184108112470017,0.420253909388375,-0.438087804436995,0.661322634693833,NA
"GLS",16631.6558751879,0.00717922691433387,0.0649627282851991,0.11051301421356,0.912002529239251,0.995621400230418
"STAT1",26824.038082842,0.233896517925622,0.0677540671006689,3.45213989262223,0.000556159298549039,0.0985284354717032
"AC092614.2",35.9636430714246,-0.147951658053222,0.366645201366728,-0.403528145197889,0.686559733910947,0.991599612399415
"MYO1B",5390.09295791573,-0.0392196229537743,0.0525785671684626,-0.745924148676665,0.455713236568875,0.97200133380803
"NABP1",1875.07814704184,0.0122066963502415,0.0685651120935891,0.178030721127966,0.858698849150559,0.995551787914465
"CAVIN2-AS1",11.8922662260939,-0.59927038451914,0.627785109733488,-0.954578844301591,0.339790719892579,NA
"TMEFF2",10.9354287780518,0.691925357872593,0.671257677698529,1.03078948794288,0.302639548884956,NA
"SLC39A10",290.778293364122,0.154073487682063,0.137012849779814,1.12451852457391,0.26079311632888,0.945805042729682
